"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","lmao a low quality screencap i took of the perks of being a wallflower got over 100 notes on tumblr overnight wtf is wrong with yall",FALSE,0,NA,2017-04-21 15:43:14,FALSE,NA,"855446839675453440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","softIess",0,FALSE,FALSE,NA,NA
"2","NW: The Perks of Being A Wallflower Ì†ΩÌ≤ï",FALSE,0,NA,2017-04-21 15:42:45,FALSE,NA,"855446717239402496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vandalish26",0,FALSE,FALSE,NA,NA
"3","Spending my Friday morning watching perks of being a wallflower with french toast and Greek yogurt :')",FALSE,1,NA,2017-04-21 15:41:08,FALSE,NA,"855446309477638145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NessaaRobles",0,FALSE,FALSE,NA,NA
"4","Now playing: Perks of Being a Wallflower (Michael Brook) - Charlies First Kiss 
Listen @ https://t.co/UOQnjuFm9h",FALSE,0,NA,2017-04-21 15:36:46,FALSE,NA,"855445211895525376",NA,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","SndtrackRadio",0,FALSE,FALSE,NA,NA
"5","50 first dates
miss you already
perks of being a wallflower
mortal instruments
love rosie https://t.co/s1o3DeBfpi",FALSE,0,NA,2017-04-21 15:36:09,FALSE,NA,"855445057477812224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jeonkxx",0,FALSE,FALSE,NA,NA
"6","RT @softastroIogy: cancer ‚ôãÔ∏è

The Perks Of Being A Wallflower (2012) https://t.co/EyLKknnAEL",FALSE,0,NA,2017-04-21 15:35:06,FALSE,NA,"855444792993607680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nurjulyanass",376,TRUE,FALSE,NA,NA
"7","RT @fiImart: ‚ÄúThings change. And friends leave. Life doesn't stop for anybody.‚Äù 

The Perks of Being a Wallflower (2012) https://t.co/Xbewe‚Ä¶",FALSE,0,NA,2017-04-21 15:34:24,FALSE,NA,"855444614332858368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lookatmeme8",799,TRUE,FALSE,NA,NA
"8","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 15:28:24,FALSE,NA,"855443108032651264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlakeEBoyer",351,TRUE,FALSE,NA,NA
"9","@msshupe2135 Perks of Being a Wallflower. I've seen the movie but haven't read it",FALSE,0,"msshupe2135",2017-04-21 15:25:17,FALSE,"855428608919126017","855442321105707008","819926344662450176","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juliana_krueger",0,FALSE,FALSE,NA,NA
"10","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 15:23:22,FALSE,NA,"855441837506658304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielleeeeee11",351,TRUE,FALSE,NA,NA
