"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @steffanargus: why do i simultaneously feel like every character in perks of being a wallflower.",FALSE,0,NA,2017-04-25 16:33:48,FALSE,NA,"856909116987633665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trumanvogue",318,TRUE,FALSE,NA,NA
"2","RT @steffanargus: why do i simultaneously feel like every character in perks of being a wallflower.",FALSE,0,NA,2017-04-25 16:32:21,FALSE,NA,"856908752037044224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Poisxned07",318,TRUE,FALSE,NA,NA
"3","RT @beaufilms: Charlie's last letter / the tunnel scene from The Perks of Being a Wallflower (2012) makes me cry every single time https://…",FALSE,0,NA,2017-04-25 16:31:40,FALSE,NA,"856908577054879744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pal5oma",299,TRUE,FALSE,NA,NA
"4","RT @moviepoets: The Perks of Being A Wallflower (2012) https://t.co/xPW37O1oz7",FALSE,0,NA,2017-04-25 16:29:58,FALSE,NA,"856908151202951177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AguilaColgada",359,TRUE,FALSE,NA,NA
"5","“We accept the love we think we deserve.”
― Stephen Chbosky, The Perks of Being A Wallflower  #findinghappily",FALSE,0,NA,2017-04-25 16:29:22,FALSE,NA,"856907999234883584",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","FindingHappily",0,FALSE,FALSE,NA,NA
"6","RT @softastroIogy: cancer ♋️

The Perks Of Being A Wallflower (2012) https://t.co/EyLKknnAEL",FALSE,0,NA,2017-04-25 16:27:54,FALSE,NA,"856907632510205952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miemiem933",461,TRUE,FALSE,NA,NA
"7","RT @steffanargus: why do i simultaneously feel like every character in perks of being a wallflower.",FALSE,0,NA,2017-04-25 16:27:30,FALSE,NA,"856907530286575616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kenna_just",318,TRUE,FALSE,NA,NA
"8","RT @beaufilms: The Perks of Being A Wallflower (2012) https://t.co/hlZ1eRIQwV",FALSE,0,NA,2017-04-25 16:27:15,FALSE,NA,"856907467388854282",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pal5oma",626,TRUE,FALSE,NA,NA
"9","RT @moviepoets: The Perks of Being A Wallflower (2012) https://t.co/xPW37O1oz7",FALSE,0,NA,2017-04-25 16:26:21,FALSE,NA,"856907241064189952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pizzaforcody",359,TRUE,FALSE,NA,NA
"10","RT @moviepoets: The Perks of Being A Wallflower (2012) https://t.co/xPW37O1oz7",FALSE,0,NA,2017-04-25 16:25:13,FALSE,NA,"856906954576416768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hirundoconalas",359,TRUE,FALSE,NA,NA
"11","{The perks of being a wallflower} https://t.co/XS2jITFHWq",FALSE,0,NA,2017-04-25 16:23:15,FALSE,NA,"856906462609715200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","victoria_bam_",0,FALSE,FALSE,NA,NA
"12","RT @steffanargus: why do i simultaneously feel like every character in perks of being a wallflower.",FALSE,0,NA,2017-04-25 16:23:14,FALSE,NA,"856906456091721728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","queeramontes",318,TRUE,FALSE,NA,NA
"13","{The perks of being a wallflower} https://t.co/QwpqFl2nSG",FALSE,0,NA,2017-04-25 16:22:23,FALSE,NA,"856906241230110720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","victoria_bam_",0,FALSE,FALSE,NA,NA
